start concept,end concept,label
system call,cache coherence,0
natural language processing,digital electronics,0
symmetric multiprocessing,python programming language,0
sequence alignment,object oriented programming,0
java programming language,fast fourier transform,0
functional programming,internet protocol suite,0
robotics,algorithm design,0
formal language,combinatorics,0
image processing,mathematical proof,0
amortized analysis,syntax,0
time complexity,linked list,0
polymorphism computer science,expected value,0
foundations of mathematics,data analysis,0
compiler optimization,syntax,0
spanning tree,quantum mechanics,0
scientific modelling,scripting language,0
recursively enumerable set,part of speech tagging,0
document classification,compiler,0
estimation theory,performance tuning,0
concurrency control,computability,0
automated planning and scheduling,algorithm,0
complexity,finite element method,0
graphical user interface,virtual memory,0
bayesian,interface computing,0
robot,economics,0
quantum mechanics,expert system,0
telecommunications network,scripting language,0
foundations of mathematics,assembly language,0
probability,information security,0
logic programming,randomization,0
formal methods,mathematical proof,0
martingale probability theory,ordinary differential equation,0
discrete mathematics,database design,0
compiler optimization,c programming language,0
symbol table,decision theory,0
finite element method,information theory,0
cryptography,software testing,0
ray tracing graphics,control flow,0
divide and conquer algorithm,part of speech tagging,0
programmer,telecommunications network,0
database system,complexity,0
divide and conquer algorithm,personal computer,0
np complexity,introduction to algorithms,0
computer graphics,expert system,0
recursively enumerable set,graph theory,0
lazy evaluation,computer graphics,0
sequence alignment,shortest path problem,0
hash table,reason,0
inequality mathematics,b tree,0
mathematics,number theory,0
sequence alignment,server computing,0
cloud computing,calculus,0
integral,geometric modeling,0
formal language,software framework,0
statistics,programming paradigm,0
cryptography,peer to peer,0
profiling computer programming,neural network,0
computer vision,graphical model,0
deadlock,coding theory,0
modular arithmetic,undecidable problem,0
inheritance object oriented programming,signal processing,0
scripting language,pushdown automata,0
monad functional programming,asymptotic analysis,0
combinatorics,suffix tree,0
randomness,cloud computing,0
fourier analysis,question answering,0
expected value,analysis of algorithms,0
best worst and average case,markov chain,0
finite set,central processing unit,0
differential equation,big data,0
analysis of algorithms,queue data structure,0
polymorphism computer science,cpu cache,0
visualization computer graphics,virtual reality,0
monte carlo method,d computer graphics,0
newton s method,vector processor,0
design of experiments,database,0
visualization computer graphics,b tree,0
c,bayesian,0
file system,inference,0
computational chemistry,inequality mathematics,0
kernel computing,garbage collection computer science,0
sufficient statistic,polynomial,0
queue data structure,approximation,0
iterative method,program optimization,0
predicate logic,distributed computing,0
quantum computer,computer network,0
traffic analysis,web server,0
support vector machine,eigenvalues and eigenvectors,0
compiler optimization,computer animation,0
multiplication,input output,0
support vector machine,robot,0
mechanical engineering,graphical user interface,0
abstraction computer science,probability,0
shading,embedded system,0
debugging,memory management,0
software framework,string searching algorithm,0
communication,profiling computer programming,0
hidden line removal,geometric modeling,0
query language,analysis of algorithms,0
introduction to algorithms,coding theory,0
gradient descent,dynamic programming,0
spanning tree,mathematical model,0
network security,memory management,0
parametric polymorphism,pagerank,0
cryptography,mobile device,0
malware,profiling computer programming,0
quantum mechanics,relational database,0
syntax,symbol table,0
integral,stochastic,0
personal computer,parallel computing,0
lexical semantics,recommender system,0
signal processing,image analysis,0
object oriented programming,speech recognition,0
natural language processing,software design,0
program analysis,d modeling,0
computing,synchronization,0
np complete,distributed computing,0
computer programming,information assurance,0
human computer interaction,operating system,0
probability,control flow,0
memory management,very long instruction word,0
high level programming language,human computer interaction,0
index database,poisson distribution,0
inference,expected value,0
sufficient statistic,sparse matrix,0
document classification,synchronization,0
graph coloring,exponential family,0
foundations of mathematics,shortest path problem,0
computational chemistry,quantum mechanics,0
approximation,message passing,0
cryptographic hash function,database normalization,0
context free grammar,randomization,0
reason,database system,0
floating point,hash table,0
compiler,fast fourier transform,0
sql,halting problem,0
internet,mathematics,0
combinational logic,relational database,0
software testing,functional programming,0
fast fourier transform,conditional probability,0
time complexity,query optimization,0
context free language,communication,0
database transaction,pagerank,0
concurrency computer science,data warehouse,0
symmetric multiprocessing,recommender system,0
data warehouse,relational algebra,0
big data,iterative method,0
kernel computing,autonomous robot,0
fixed point mathematics,software development,0
model of computation,programming paradigm,0
computer security,approximation algorithm,0
ordinary differential equation,part of speech tagging,0
computer simulation,lazy evaluation,0
gradient descent,floating point,0
modular programming,scripting language,0
variable computer science,interface computing,0
denotational semantics,poisson distribution,0
web browser,expected value,0
computer science,packet switching,0
formal grammar,combinational logic,0
lexical semantics,shading,0
mutual exclusion,computer simulation,0
motion capture,file system,0
decision theory,numerical analysis,0
relational database,data analysis,0
predicate logic,algebra,0
expert system,computing,0
software development,continuous function,0
algebra,monte carlo method,0
pushdown automata,scientific visualization,0
digital signature,perl,0
functional programming,computing,0
mathematical proof,robot,0
parallel computing,continuous function,0
d modeling,cryptographic hash function,0
unsupervised learning,modular programming,0
information theory,information assurance,0
reason,lexical semantics,0
malware,encryption,0
sufficient statistic,computer graphics,0
index database,speech recognition,0
stochastic,object computer science,0
web search engine,theory of computation,0
computational problem,visualization computer graphics,0
program optimization,decision theory,0
halting problem,geometric modeling,0
osi model,partial differential equation,0
user interface design,unsupervised learning,0
image analysis,geometric modeling,0
application programming interface,c programming language,0
logic,input output,0
software design,internet protocol suite,0
cryptography,formal verification,0
microprocessor,pattern matching,0
dynamic memory allocation,graph theory,0
bayesian network,central processing unit,0
mathematical model,sufficient statistic,0
string computer science,random graph,0
matlab,probability theory,0
distributed algorithms,complexity class,0
mathematical induction,parallel algorithm,0
message passing,unix,0
computer animation,problem solving,0
computational complexity theory,correlation and dependence,0
relational database,finite element method,0
geometry,best worst and average case,0
uncertainty,undecidable problem,0
tensor,statistical inference,0
hypothesis testing,computer network,0
personal computer,statistical inference,0
public key cryptography,inference,0
np complexity,differential equation,0
entropy,shared memory,0
imperative programming,theoretical computer science,0
motion capture,least squares,0
imperative programming,stochastic,0
finite set,digital electronics,0
lock computer science,graphics,0
rendering computer graphics,decision theory,0
random variable,application software,0
parallel computing,entropy,0
security,authentication,0
human computer interaction,query optimization,0
parsing,automated planning and scheduling,0
recursion,artificial intelligence,0
programming style,matlab,0
pipeline computing,kinematics,0
asymptotic analysis,database transaction,0
information security,logic,0
combinatorics,automatic programming,0
visualization computer graphics,software framework,0
world wide web,exponential family,0
cryptanalysis,routing,0
propositional calculus,instruction set,0
multi core processor,abstract data type,0
compiler optimization,internet protocol suite,0
differential equation,instruction set,0
suffix tree,parsing,0
arithmetic,artificial intelligence,0
application software,vector processor,0
regular language,congestion control,0
rendering computer graphics,predicate logic,0
large deviations theory,suffix tree,0
data type,combinatorics,0
computability,calculus of variations,0
object computer science,information theory,0
public key cryptography,concurrent computing,0
mathematical proof,shortest path problem,0
complexity class,shortest path problem,0
mapreduce,linear system,0
object computer science,data warehouse,0
large deviations theory,monte carlo method,0
abstraction computer science,question answering,0
formal verification,processor register,0
lock computer science,martingale probability theory,0
computational learning theory,combinatorics,0
ml programming language,gpu,0
mutual exclusion,data warehouse,0
structured programming,cryptanalysis,0
integral,java programming language,0
artificial intelligence,hidden line removal,0
decision theory,javascript,0
computer software,ml programming language,0
np complexity,scientific modelling,0
imperative programming,cluster analysis,0
concurrent computing,traffic analysis,0
communication,least squares,0
undecidable problem,index database,0
object oriented programming,neural network,0
concurrency control,ray tracing graphics,0
computation,communication,0
design pattern computer science,entropy,0
computer multitasking,semantics of programming languages,0
inter process communication,program optimization,0
computer animation,computing,0
javascript,floating point,0
bioinformatics,undecidable problem,0
telecommunications network,best worst and average case,0
round off error,packet switching,0
programming style,computational learning theory,0
motion capture,quantum computer,0
rendering computer graphics,information theory,0
b tree,integral,0
computer animation,software framework,0
context free grammar,algorithm design,0
traffic analysis,scalability,0
bioinformatics,linear programming,0
formal grammar,file system,0
object oriented programming,inference,0
memory management,introduction to algorithms,0
regular language,ml programming language,0
wireless sensor network,mathematical proof,0
arithmetic logic unit,interpolation,0
web search engine,least squares,0
np complexity,memory management,0
part of speech tagging,predicate logic,0
data,cryptanalysis,0
database design,stack data structure,0
tensor,software framework,0
firewall computing,fourier analysis,0
programming style,computational complexity theory,0
deadlock,formal language,0
instruction set,mutual exclusion,0
string searching algorithm,graph mathematics,0
quantum mechanics,microcode,0
type system,linked list,0
complexity,lexical analysis,0
packet switching,time complexity,0
cryptanalysis,wireless sensor network,0
theory of computation,recommender system,0
scientific visualization,run time program lifecycle phase,0
scalability,wireless sensor network,0
data type,fast fourier transform,0
memory hierarchy,rendering computer graphics,0
social network,transaction processing,0
part of speech tagging,formal methods,0
queue data structure,machine translation,0
arithmetic logic unit,sparse matrix,0
volume rendering,kinematics,0
image,speech recognition,0
system programming,bioinformatics,0
partial differential equation,concurrency computer science,0
internet protocol suite,python programming language,0
mathematics,correlation and dependence,0
symmetric multiprocessing,logic,0
pushdown automata,bayesian network,0
estimation theory,programming language,0
correlation and dependence,motion planning,0
system call,memory hierarchy,0
image,web server,0
kalman filter,hash table,0
finite set,kinematics,0
time complexity,assembly language,0
microcode,computational problem,0
propositional calculus,image,0
pspace,application programming interface,0
security,deadlock,0
object oriented programming,continuous function,0
floating point,input output,0
kinematics,file system,0
recursion computer science,sparse matrix,0
query optimization,probability,0
regular expression,spanning tree,0
computing,congestion control,0
ml programming language,higher order function,0
differential equation,javascript,0
computer multitasking,natural language processing,0
system programming,computation,0
game theory,pattern recognition,0
divide and conquer algorithm,central processing unit,0
lazy evaluation,theory of computation,0
correlation and dependence,visualization computer graphics,0
cryptography,graphical model,0
string searching algorithm,fourier analysis,0
communication,inter process communication,0
suffix tree,deadlock,0
monte carlo method,asymptotic analysis,0
quantum cryptography,cache coherence,0
database design,algorithm design,0
first order logic,motion planning,0
graph theory,programmer,0
linear algebra,lisp programming language,0
authentication,cryptanalysis,0
relational model,best worst and average case,0
design pattern computer science,sequence alignment,0
run time program lifecycle phase,congestion control,0
poisson distribution,string searching algorithm,0
lisp programming language,ordinary differential equation,0
motion planning,mathematical model,0
data type,turing machine,0
probability,feature extraction,0
virtual reality,game theory,0
signal processing,functional programming,0
perl,mutual exclusion,0
very long instruction word,sequence alignment,0
sql,suffix tree,0
uncertainty,graph coloring,0
np complexity,speech recognition,0
data mining,type system,0
relational algebra,random walk,0
recursion computer science,suffix tree,0
embedded system,predicate logic,0
computer network,automata theory,0
mathematics,bayesian network,0
random walk,malware,0
finite state machine,pattern matching,0
feature extraction,boundary value problem,0
program analysis,statistical inference,0
question answering,image analysis,0
sentiment analysis,polynomial,0
markov process,martingale probability theory,0
software engineering,haskell programming language,0
partial differential equation,floating point,0
central processing unit,approximation algorithm,0
dynamic memory allocation,congestion control,0
ordinary differential equation,automated theorem proving,0
denotational semantics,dynamic programming,0
programmer,object computer science,0
robot,expert system,0
message passing,exponential family,0
automated theorem proving,multiplication,0
multiplication,graphical user interface,0
superscalar,digital electronics,0
haskell programming language,message passing interface,0
modular programming,flow network,0
cryptographic hash function,public key cryptography,0
hidden markov model,finite state machine,0
matrix mathematics,random graph,0
d modeling,best worst and average case,0
linear system,ordinary differential equation,0
complexity,semantics of programming languages,0
visualization computer graphics,np complexity,0
data structure,finite difference,0
multi core processor,ray tracing graphics,0
symbol table,scientific modelling,0
computational learning theory,fast fourier transform,0
kernel computing,boundary value problem,0
web search engine,queue data structure,0
application programming interface,arithmetic logic unit,0
hidden line removal,concurrent computing,0
numerical analysis,computational science,0
first order logic,automated planning and scheduling,0
gpu,interactivity,0
parsing,computational problem,0
performance tuning,computational geometry,0
halting problem,problem solving,0
hidden markov model,formal methods,0
programming paradigm,cluster analysis,0
computational complexity theory,random walk,0
analysis of algorithms,quantum cryptography,0
central processing unit,pattern matching,0
linear system,mapreduce,0
pattern recognition,control flow,0
foundations of mathematics,concurrency control,0
image,procedural programming,0
software design,approximation,0
software development,image,0
combinational logic,random graph,0
software framework,lexical semantics,0
context free language,integral,0
algorithm design,prediction,0
cryptanalysis,natural language,0
programming paradigm,stochastic,0
software design,first order logic,0
application software,personal computer,0
osi model,formal language,0
kalman filter,d computer graphics,0
human computer interaction,conditional probability,0
central processing unit,structured programming,0
halting problem,graph mathematics,0
scripting language,social network,0
prolog,genetic algorithm,0
microprocessor,round off error,0
gpu,embedded system,0
virtual memory,mathematical optimization,0
eigenvalues and eigenvectors,np complexity,0
exponential family,sparse matrix,0
communication,scientific modelling,0
world wide web,introduction to algorithms,0
digital electronics,pattern matching,0
automata theory,debugging,0
fast fourier transform,mutual exclusion,0
human computer interaction,relational database,0
randomization,inference,0
cpu cache,linked list,0
program analysis,java programming language,0
modular arithmetic,web service,0
sentiment analysis,bioinformatics,0
authentication,approximation algorithm,0
web service,recurrence relation,0
matlab,formal methods,0
string searching algorithm,recommender system,0
user interface design,shared memory,0
pattern recognition,database,0
complexity class,divide and conquer algorithm,0
syntax,software development,0
algorithm design,data computing,0
pipeline computing,social network,0
calculus,reason,0
structured programming,d modeling,0
recursion,regular language,0
mutual exclusion,server computing,0
kinematics,semantics,0
encryption,human computer interaction,0
random graph,graph coloring,0
round off error,concurrency computer science,0
mutual exclusion,markov chain,0
message passing,scalability,0
model checking,generic programming,0
algebra,mathematical model,0
motion planning,propositional calculus,0
network security,natural language,0
programming paradigm,dynamic programming,0
floating point,economics,0
visualization computer graphics,finite set,0
sql,world wide web,0
relational model,graphical model,0
graphical model,statistical inference,0
computer programming,computational complexity theory,0
artificial intelligence,data structure,0
analysis of algorithms,computation,0
bayesian,data,0
geometry,matrix mathematics,0
motion planning,robotics,0
information theory,random variable,0
dynamic programming,algorithm,0
index database,database,0
stochastic process,random variable,0
martingale probability theory,random variable,0
genetic algorithm,computer science,0
numerical analysis,floating point,0
virtual memory,operating system,0
semidefinite programming,linear programming,0
mathematical optimization,integer,0
compiler,parsing,0
computer animation,image,0
combinatorics,finite set,0
osi model,computer network,0
theoretical computer science,computation,0
pattern recognition,probability,0
monte carlo method,integral,0
arithmetic logic unit,combinational logic,0
assembly language,instruction set,0
b tree,data structure,0
list of undecidable problems,computational problem,0
sufficient statistic,random variable,0
data mining,algorithm,0
robotics,robot,0
decision theory,hypothesis testing,0
functional programming,recursion computer science,0
cryptographic hash function,information security,0
automatic programming,computer programming,0
program optimization,algorithm,0
prediction,probability,0
data structure,data computing,0
boundary value problem,ordinary differential equation,0
arithmetic logic unit,digital electronics,0
concurrency control,database management system,0
natural language processing,semantics,0
linear programming,algorithm,0
database system,database,0
cpu cache,computer architecture,0
malware,information security,0
calculus,arithmetic,0
web service,computer network,0
object oriented programming,structured programming,0
neural network,artificial intelligence,0
reinforcement learning,artificial intelligence,0
query language,computer programming,0
mathematical optimization,arithmetic,0
relational model,data type,0
robot,computation,0
symbol table,compiler,0
database management system,database transaction,0
software engineering,programming language,0
polymorphism computer science,programming language,0
multi core processor,thread computer science,0
c programming language,arithmetic,0
inter process communication,operating system,0
model of computation,computational complexity theory,0
pushdown automata,finite state machine,0
computational complexity theory,algorithm,0
database,data structure,0
estimation theory,probability,0
markov chain,conditional probability,0
matrix mathematics,mathematics,0
monte carlo method,expected value,0
dynamic memory allocation,array data structure,0
hidden markov model,artificial intelligence,0
dynamic memory allocation,array data structure,0
object oriented programming,high level programming language,0
semidefinite programming,linear programming,0
multiplication,mathematics,0
database design,database,0
artificial intelligence,graph theory,0
parametric polymorphism,data type,0
compiler,parsing,0
web search engine,algorithm,0
martingale probability theory,probability theory,0
machine learning,expected value,0
sequence alignment,probability,0
computational geometry,computer science,0
computational problem,computer science,0
numerical analysis,matrix mathematics,0
mathematical optimization,algorithm,0
computer vision,computer science,0
computational geometry,computational science,0
java programming language,object oriented programming,0
user interface design,user interface,0
analysis of algorithms,introduction to algorithms,0
lexical analysis,programming language,0
operating system,central processing unit,0
numerical analysis,approximation,0
atomicity database systems,database,0
decision theory,random variable,0
quantum mechanics,probability,0
interpolation,mathematics,0
sentiment analysis,machine learning,0
stochastic,probability theory,0
compiler,computer programming,0
knowledge representation and reasoning,logic,0
compiler,computer architecture,0
software design,java programming language,0
neural network,machine learning,0
algorithm design,mathematics,0
regular language,finite state machine,0
numerical analysis,mathematics,0
finite difference,numerical analysis,0
linear programming,algorithm,0
computational chemistry,algorithm,0
stochastic,probability theory,0
visualization computer graphics,computer graphics,0
c programming language,computer,0
machine learning,graph theory,0
database,algorithm design,0
recurrence relation,algorithm,0
system call,operating system,0
calculus,arithmetic,0
scalability,software design,0
stochastic process,probability,0
computer graphics,computer programming,0
unsupervised learning,machine learning,0
multi core processor,central processing unit,0
knowledge representation and reasoning,algorithm design,0
control flow,scope computer science,0
computer programming,algorithm,0
markov chain,probability theory,0
concurrency control,computer programming,0
algorithm design,algorithm,0
formal language,computer science,0
firewall computing,information security,0
software development,computer programming,0
logic,foundations of mathematics,0
analysis of algorithms,turing machine,0
haskell programming language,computer programming,0
relational model,predicate logic,0
concurrency control,algorithm design,0
np complete,algorithm,0
logic programming,computer programming,0
concurrency control,analysis of algorithms,0
matrix mathematics,mathematics,0
computational geometry,computational science,0
artificial intelligence,algorithm,0
algorithm,polynomial,0
index database,relational database,0
turing machine,mathematics,0
algorithm,computing,0
string searching algorithm,introduction to algorithms,0
arithmetic logic unit,computer,0
scripting language,computer programming,0
hidden markov model,probability theory,0
string searching algorithm,computer science,0
design of experiments,hypothesis testing,0
amortized analysis,computer science,0
relational database,relational algebra,0
programmer,computer programming,0
prolog,programming language,0
first order logic,recursion,0
object computer science,computer science,0
theoretical computer science,computer science,0
computer network,computer science,0
artificial intelligence,graph theory,0
signal processing,probability,0
parametric polymorphism,variable computer science,0
algorithm,polynomial,0
relational database,computer programming,0
parsing,algorithm design,0
computer software,computer,0
computer network,computer,0
dynamic memory allocation,array data structure,0
robotics,analysis of algorithms,0
parsing,natural language,0
software development,computer programming,0
cache coherence,shared memory,0
artificial intelligence,computer programming,0
object oriented programming,computer science,0
algorithm design,mathematics,0
scope computer science,programming language,0
artificial intelligence,mathematics,0
cryptography,mathematical proof,0
matlab,programming language,0
program optimization,algorithm,0
message passing,computer science,0
mathematical model,mathematics,0
finite state machine,theory of computation,0
query optimization,database management system,0
statistical inference,probability,0
genetic algorithm,algorithm,0
formal language,computer science,0
cpu cache,computer architecture,0
machine learning,graph theory,0
rendering computer graphics,computer graphics,0
computer,digital electronics,0
cryptography,mathematical proof,0
high level programming language,computer,0
parallel algorithm,algorithm,0
computer science,mathematics,0
data mining,programming language,0
machine learning,probability,0
fourier analysis,polynomial,0
computer science,graph theory,0
bayesian,data,0
string searching algorithm,introduction to algorithms,0
hypothesis testing,data,0
context free grammar,string computer science,0
user interface design,computer,0
information theory,conditional probability,0
database normalization,database,0
randomized algorithm,introduction to algorithms,0
correlation and dependence,random variable,0
concurrency control,analysis of algorithms,0
bayesian,random variable,0
correlation and dependence,data,0
software engineering,programming language,0
digital signature,algorithm,0
routing,osi model,0
software engineering,algorithm,0
computer security,computer,0
database management system,computer science,0
monte carlo method,statistical inference,0
string searching algorithm,introduction to algorithms,0
autonomous robot,robot,0
large deviations theory,probability theory,0
polymorphism computer science,programming language,0
hidden line removal,algorithm,0
relational model,data type,0
computer programming,computer science,0
sql,computer science,0
markov chain,random variable,0
context free grammar,string computer science,0
robotics,kinematics,0
spanning tree,mathematics,0
martingale probability theory,random variable,0
concurrency computer science,operating system,0
debugging,computer programming,0
scripting language,programming language,0
computer graphics,graphics,0
analysis of algorithms,computer science,0
speech recognition,artificial intelligence,0
arithmetic logic unit,combinational logic,0
numerical analysis,polynomial,0
instruction set,computer,0
communications protocol,communication,0
atomicity database systems,database,0
string computer science,data computing,0
information assurance,information security,0
computer vision,computer science,0
random walk,expected value,0
arithmetic logic unit,combinational logic,0
polynomial,mathematics,0
object oriented programming,high level programming language,0
relational model,database,0
computational complexity theory,algorithm design,0
probability,uncertainty,0
transaction processing,concurrency control,0
computer vision,image processing,0
user interface,computer,0
bioinformatics,computer programming,0
gradient descent,mathematical optimization,0
computer network,data computing,0
embedded system,microprocessor,0
quantum mechanics,continuous function,0
context free grammar,string computer science,0
high level programming language,computer,0
user interface,computer,0
analysis of algorithms,algorithm,0
lisp programming language,scope computer science,0
social network,graph mathematics,0
hash table,data computing,0
object oriented programming,variable computer science,0
algorithm design,analysis of algorithms,0
algorithm,computability,0
lisp programming language,computer science,0
genetic algorithm,computer science,0
tensor,mathematics,0
multiplication,mathematics,0
mathematical optimization,integer,0
transaction processing,database,0
graph mathematics,mathematics,0
divide and conquer algorithm,algorithm design,0
graphical model,random variable,0
queue data structure,array data structure,0
random walk,markov chain,0
graphical user interface,computer,0
natural language processing,machine learning,0
graphical model,probability,0
high level programming language,computer science,0
poisson distribution,probability theory,0
algorithm,computer science,0
mathematical optimization,mathematical model,0
hypothesis testing,random variable,0
cpu cache,computer,0
atomicity database systems,database,0
software development,object oriented programming,0
mathematical optimization,mathematical model,0
analysis of algorithms,introduction to algorithms,0
transaction processing,computer science,0
cache coherence,parallel computing,0
computer vision,computer science,0
mathematical optimization,arithmetic,0
traffic analysis,cryptography,0
p versus np problem,computer science,0
mathematics,foundations of mathematics,0
theoretical computer science,mathematics,0
machine learning,statistics,0
turing machine,theory of computation,0
social network,graph mathematics,0
finite difference,numerical analysis,0
profiling computer programming,computer programming,0
database,computer science,0
computer architecture,computer,0
imperative programming,computer,0
artificial intelligence,computer programming,0
packet switching,computer network,0
memory management,operating system,0
machine learning,statistical inference,0
graphical model,probability,0
garbage collection computer science,computer science,0
hash table,best worst and average case,0
robot,artificial intelligence,0
visualization computer graphics,geometry,0
finite state machine,logic,0
finite difference,numerical analysis,0
programming language,computability,0
recursion,algorithm,0
context free grammar,string computer science,0
automated theorem proving,mathematical induction,0
network security,computer security,0
round off error,numerical analysis,0
parsing,finite state machine,0
computability,computer science,0
compiler,regular expression,0
computational geometry,computer graphics,0
knowledge representation and reasoning,algorithm,0
system programming,unix,0
recursively enumerable set,recursion,0
index database,relational database,0
c programming language,computer programming,0
software engineering,computational complexity theory,0
cryptanalysis,modular arithmetic,0
exponential family,random variable,0
information theory,probability theory,0
lisp programming language,scope computer science,0
mathematical optimization,mathematical model,0
concurrency control,algorithm design,0
natural language processing,algorithm design,0
algorithm design,computer science,0
analysis of algorithms,combinatorics,0
parallel computing,shared memory,0
server computing,computer,0
parallel computing,shared memory,0
internet,telecommunications network,0
internet,routing,0
quantum computer,theoretical computer science,0
message passing,computer science,0
query optimization,database management system,0
data mining,programming language,0
model checking,algorithm,0
user interface,computer programming,0
eigenvalues and eigenvectors,matrix mathematics,0
database,operating system,0
context free grammar,computer science,0
coding theory,computer science,0
least squares,numerical analysis,0
finite difference,boundary value problem,0
dynamic programming,computer science,0
denotational semantics,programming language,0
index database,computer science,0
b tree,data structure,0
query optimization,relational database,0
database management system,relational algebra,0
artificial intelligence,mathematics,0
volume rendering,rendering computer graphics,0
shortest path problem,graph theory,0
finite set,mathematics,0
list of undecidable problems,computational problem,0
randomized algorithm,introduction to algorithms,0
formal verification,computer science,0
semantics of programming languages,programming language,0
object oriented programming,object computer science,0
queue data structure,array data structure,0
computational complexity theory,theory of computation,0
computational complexity theory,algorithm design,0
time complexity,turing machine,0
scheduling computing,computing,0
algorithm design,computer science,0
halting problem,theory of computation,0
hidden markov model,machine learning,0
newton s method,approximation,0
knowledge representation and reasoning,logic,0
artificial intelligence,algorithm,0
discrete mathematics,mathematics,0
computer graphics,image,0
random graph,mathematics,0
memory management,operating system,0
assembly language,programming language,0
database normalization,database,0
graph theory,computational science,0
algorithm,computability,0
parallel computing,time complexity,0
formal verification,computer science,0
web server,computer,0
software engineering,data structure,0
divide and conquer algorithm,algorithm,0
cryptanalysis,algorithm,0
operating system,computer,0
very long instruction word,computer architecture,0
numerical analysis,eigenvalues and eigenvectors,0
finite state machine,theory of computation,0
boundary value problem,ordinary differential equation,0
randomness,mathematics,0
c programming language,computer programming,0
computer science,number theory,0
database design,relational database,0
polymorphism computer science,programming language,0
algorithm,theoretical computer science,0
volume rendering,rendering computer graphics,0
computer animation,mathematics,0
analysis of algorithms,computer science,0
bayesian,conditional probability,0
list of undecidable problems,computability,0
pushdown automata,finite state machine,0
stochastic process,probability,0
matlab,programming language,0
lexical analysis,computer science,0
imperative programming,variable computer science,0
cryptography,probability theory,0
database,data,0
programming language,computability,0
software testing,computer programming,0
computer software,operating system,0
firewall computing,computer security,0
microcode,assembly language,0
scripting language,computer,0
routing,computer,0
recursion computer science,algorithm,0
linear programming,matrix mathematics,0
cryptanalysis,information security,0
high level programming language,computer,0
cache coherence,parallel computing,0
computer vision,geometry,0
graphical user interface,computer,0
profiling computer programming,algorithm,0
message passing,computer science,0
randomized algorithm,computational complexity theory,0
algorithm,logic,0
poisson distribution,expected value,0
congestion control,computer network,0
cpu cache,computer architecture,0
computer graphics,algorithm,0
scope computer science,computer programming,0
graphical model,statistical inference,0
database design,database,0
probability,uncertainty,0
statistical inference,data,0
gradient descent,algorithm,0
distributed algorithms,algorithm,0
system programming,unix,0
hidden markov model,machine learning,0
finite set,mathematics,0
question answering,artificial intelligence,0
assembly language,computer programming,0
python programming language,computer programming,0
user interface,computer programming,0
amortized analysis,computer science,0
artificial intelligence,computational science,0
recursively enumerable set,recursion,0
java programming language,scope computer science,0
robotics,robot,0
firewall computing,information security,0
profiling computer programming,algorithm,0
database design,data structure,0
machine learning,computer,0
question answering,expert system,0
pattern matching,string computer science,0
pushdown automata,finite state machine,0
software development,computer science,0
instruction set,computer,0
computer simulation,computer science,0
relational database,relational model,0
parallel computing,time complexity,0
embedded system,operating system,0
finite state machine,computer science,0
game theory,mathematical optimization,0
c programming language,computer programming,0
compiler,regular expression,0
computational geometry,computer,0
programming paradigm,data structure,0
decision theory,statistical inference,0
decision theory,statistical inference,0
robotics,analysis of algorithms,0
computer science,logic,0
packet switching,computer network,0
complexity class,algorithm,0
theoretical computer science,computer science,0
markov chain,expected value,0
hidden line removal,algorithm,0
computer vision,geometry,0
